sort,type,size,time
shellsort,int,80000,0.054680
qsort,int,80000,0.015036
shellsort,float,80000,0.059703
qsort,float,80000,0.017659
shellsort,double,80000,0.052129
qsort,double,80000,0.016358
shellsort,string,80000,0.113619
qsort,string,80000,0.026664
shellsort,int,90000,0.056857
qsort,int,90000,0.014620
shellsort,float,90000,0.054275
qsort,float,90000,0.015861
shellsort,double,90000,0.047310
qsort,double,90000,0.016900
shellsort,string,90000,0.084088
qsort,string,90000,0.028308
shellsort,int,100000,0.058492
qsort,int,100000,0.016252
shellsort,float,100000,0.065214
qsort,float,100000,0.018341
shellsort,double,100000,0.058213
qsort,double,100000,0.020837
shellsort,string,100000,0.103187
qsort,string,100000,0.026445
shellsort,int,200000,0.065673
qsort,int,200000,0.016941
shellsort,float,200000,0.064725
qsort,float,200000,0.018658
shellsort,double,200000,0.059328
qsort,double,200000,0.019595
shellsort,string,200000,0.116487
qsort,string,200000,0.033839
shellsort,int,300000,0.089558
qsort,int,300000,0.025833
shellsort,float,300000,0.100831
qsort,float,300000,0.028657
shellsort,double,300000,0.087320
qsort,double,300000,0.030514
shellsort,string,300000,0.284625
qsort,string,300000,0.062600
shellsort,int,400000,0.128021
qsort,int,400000,0.035443
shellsort,float,400000,0.141408
qsort,float,400000,0.039050
shellsort,double,400000,0.121920
qsort,double,400000,0.041988
shellsort,string,400000,0.435701
qsort,string,400000,0.079825
