sort,type,size,time
shellsort,int,80000,0.038832
qsort,int,80000,0.011135
shellsort,float,80000,0.032874
qsort,float,80000,0.009035
shellsort,double,80000,0.022253
qsort,double,80000,0.007531
shellsort,string,80000,0.057681
qsort,string,80000,0.012732
shellsort,int,90000,0.029122
qsort,int,90000,0.006804
shellsort,float,90000,0.030278
qsort,float,90000,0.007781
shellsort,double,90000,0.020971
qsort,double,90000,0.008271
shellsort,string,90000,0.038477
qsort,string,90000,0.020440
shellsort,int,100000,0.023699
qsort,int,100000,0.008061
shellsort,float,100000,0.026012
qsort,float,100000,0.008618
shellsort,double,100000,0.032659
qsort,double,100000,0.009087
shellsort,string,100000,0.054530
qsort,string,100000,0.016034
shellsort,int,200000,0.059637
qsort,int,200000,0.021151
shellsort,float,200000,0.059009
qsort,float,200000,0.018717
shellsort,double,200000,0.051300
qsort,double,200000,0.019255
shellsort,string,200000,0.229525
qsort,string,200000,0.040239
shellsort,int,300000,0.091862
qsort,int,300000,0.026429
shellsort,float,300000,0.093725
qsort,float,300000,0.029949
shellsort,double,300000,0.087557
qsort,double,300000,0.031698
shellsort,string,300000,0.409152
qsort,string,300000,0.078701
shellsort,int,400000,0.123807
qsort,int,400000,0.034757
shellsort,float,400000,0.133638
qsort,float,400000,0.060790
shellsort,double,400000,0.122542
qsort,double,400000,0.048519
shellsort,string,400000,0.549001
qsort,string,400000,0.096819
